Обложка (журнал + год),А1 (Раса),А2 (Возраст),А3 (Телосложение),,Б1 (Цвет волос),Б2 (Длина волос),Б3 (Макияж),В1 (Пафос обложки),В2 (Степень оголенности) ,В3 (Реквизит),Г1 (год издания)
PLAYBOY 2000,0,0,1,0,0,2,1,4,1,14,4
VOGUE 2001,0,0,1,0,3,2,0,1,0,0,4
PLAYBOY 2001,0,0,1,0,3,3,0,5,1,"7, 15",4
VOGUE 2002,0,0,1,0,1,2,2,1,0,0,4
PLAYBOY 2002,0,0,0,-,3,1,2,1,1,0,4
VOGUE 2003,0,0,1,0,4,2,0,1,1,0,5
PLAYBOY 2003,0,0,1,0,2,4,1,2,1,0,5
 VOGUE 2004,0,0,1,0,3,2,0,3,0,0,5
PLAYBOY 2004,0,0,1,1,0,3,0,0,2,0,5
 VOGUE 2005,0,0,0,-,3,3,2,3,0,0,5
PLAYBOY 2005,1,0,1,0,0,2,1,0,1,13,5
VOGUE 2006,0,0,1,1,4,2,0,4,1,0,5
PLAYBOY 2006,0,0,1,0,3,3,0,1,2,2,5
VOGUE 2007,0,0,1,0,0,2,2,2,0,0,5
PLAYBOY 2007,0,0,1,0,4,2,0,2,1,0,5
VOGUE 2008,0,0,1,1,2,2,0,1,0,0,5
PLAYBOY 2008,0,0,1,0,0,3,0,4,1,0,5
VOGUE 2009,0,0,1,0,3,2,0,5,0,0,5
PLAYBOY 2009,0,0,1,0,0,2,2,5,1,0,5
VOGUE 2010,0,0,0,,0,4,0,3,0,0,5
PLAYBOY 2010,0,0,1,0,1,2,0,4,1,0,5
VOGUE 2011,0,0,1,0,3,2,0,4,0,0,5
PLAYBOY 2011,0,0,1,0,2,3,2,3,1,"10,19",5
VOGUE 2012,0,0,0,,0,4,2,1,1,0,5
PLAYBOY 2012,0,0,1,0,1,3,0,1,1,0,5
VOGUE 20013,0,0,1,1,4,3,2,5,0,0,6
PLAYBOY 2013,0,0,1,0,0,4,0,4,2,12,6
VOGUE 20014,0,0,1,0,4,2,2,4,1,0,6
PLAYBOY 2014,0,0,1,0,3,2,2,1,2,11,6
VOGUE 2015,0,0,1,0,2,1,0,1,0,0,6
PLAYBOY 2015,0,0,1,0,3,2,0,3,2,0,6
VOGUE 2016,2,0,1,1,0,2,0,2,0,0,6
PLAYBOY 2016,0,0,1,0,0,3,0,1,2,4,6
VOGUE 2017,0,2,0,,5,2,2,2,0,0,6
PLAYBOY 2017,2,0,1,0,1,2,0,1,2,0,6
